,Unnamed: 0,nutrition_amount,calories,fat,Carbohydrate,Protein,ingredients_name,ingredients_amount,equipment,ingred_unit,ingred_qunatity,url,tags_n_allergens,name,tags,allergens
658,733,"['3130 kJ', '748 kcal', '32.0 g', '22.0 g', '97 g', '11.0 g', '0 g', '17 g', '0 mg', '5.0 g']",748,32,97,17,"['Closed Cup Mushrooms', 'Rice Noodle', 'Thai Green Curry Paste', 'Thai Garnish', 'Coconut Milk', 'Vegetable Stock Powder', 'Green Beans', 'Lime', 'Coriander', 'Salted Peanuts', 'Spring Onion', 'Baby Spinach', 'Soy Sauce', 'Water']","['1 punnet(s)', '1 pack(s)', '1 pot(s)', '1 pot(s)', '1 tin(s)', '1 sachet', '1 pack(s)', '1 unit(s)', '1 bunch(es)', '1 bag(s)', '1 unit(s)', '1 bag(s)', '1 sachet', '200 milliliter(s)']","['Frying Pan', 'Saucepan', 'Strainer', 'Cutting board', 'Bowl']","['punnet(s)', 'pack(s)', 'pot(s)', 'pot(s)', 'tin(s)', 'sachet', 'pack(s)', 'unit(s)', 'bunch(es)', 'bag(s)', 'unit(s)', 'bag(s)', 'sachet', 'milliliter(s)']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 200.0]",https://www.hellofresh.co.uk/recipes/vegan-thai-green-curry-5bc04ff4ae08b5288137dfc2,['Allergens:Milk?€?Celery?€?Peanuts?€?Gluten?€?Soya'],Thai Green Curry (v),['No Tag'],"['Milk', 'Celery', 'Peanuts', 'Gluten', 'Soya']"
802,894,"['1837 kJ', '439 kcal', '15.0 g', '9.0 g', '49 g', '22.0 g', '0 g', '21 g', '0 mg', '2.69 g']",439,15,49,21,"['Premium Tomatoes', 'Balsamic Vinegar', 'Brown Lentils', 'Rocket', 'Ciabatta', 'Aubergine', 'Honey', 'Sundried Tomatoes', 'Echalion Shallot', 'Red Wine Vinegar', 'Feta Cheese', 'Garlic']","['1 punnet(s)', '1 sachet', '1 pack(s)', '1 bag(s)', '1 unit(s)', '1 unit(s)', '1 sachet', '1 pot(s)', '1 unit(s)', '1 sachet', '1 block(s)', '1 clove']","['Baking Tray', 'Bowl', 'Cutting board', 'Garlic Press', 'Grater', 'Knife', 'Frying Pan', 'Plate']","['punnet(s)', 'sachet', 'pack(s)', 'bag(s)', 'unit(s)', 'unit(s)', 'sachet', 'pot(s)', 'unit(s)', 'sachet', 'block(s)', 'clove']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",https://www.hellofresh.co.uk/recipes/warm-tomato-lentil-salad-5ca72bc7e3f339055521fc62,['Allergens:Sulphites?€?Gluten?€?Soya?€?Milk'],Warm Roasted Tomato & Lentil Salad,['No Tag'],"['Sulphites', 'Gluten', 'Soya', 'Milk']"
151,159,"['2042 kJ', '488 kcal', '24.0 g', '5.0 g', '41 g', '14.0 g', '0 g', '24 g', '0 mg', '1.1 g']",488,24,41,24,"['Courgette', 'Asparagus', 'Echalion Shallot', 'Brown Lentils', 'Ciabatta', 'Mangetout', 'Mayonnaise', 'Dijon Mustard', 'Grated Hard Italian Style Cheese', 'Baby Gem Lettuce', 'Walnuts', 'Lemon', 'Olive Oil', 'Water']","['1 unit(s)', '1 pack(s)', '1 unit(s)', '1 pack(s)', '1 unit(s)', '1 pack(s)', '1 sachet', '?? pot(s)', '1 pack(s)', '1 unit(s)', '1 bag(s)', '1 unit(s)', '2 tbsp', '2 tbsp']","['Cutting board', 'Knife', 'Baking Tray', 'Bowl', 'Frying Pan']","['unit(s)', 'pack(s)', 'unit(s)', 'pack(s)', 'unit(s)', 'pack(s)', 'sachet', 'pot(s)', 'pack(s)', 'unit(s)', 'bag(s)', 'unit(s)', 'tbsp', 'tbsp']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0]",https://www.hellofresh.co.uk/recipes/super-green-lentil-caesar-salad-5cf92f954e84a7001055320f,"['Tags:Under 600 calories', 'Allergens:Gluten?€?Soya?€?Egg?€?Mustard?€?Milk?€?Nuts']",Super Green Lentil Caesar Salad,['Under 600 calories'],"['Gluten', 'Soya', 'Egg', 'Mustard', 'Milk', 'Nuts']"
800,892,"['1828 kJ', '437 kcal', '6.0 g', '1.0 g', '60 g', '17.0 g', '0 g', '29 g', '0 mg', '7.0 g']",437,6,60,29,"['Dill', 'Sumac', 'Chickpeas', 'Steamed Brown Basmati & Quinoa', 'Carrot', 'Premium Tomatoes', 'Red Wine Vinegar', 'Cumin', 'Smoked Paprika', 'Honey', 'Red Onion', 'Whiting Fillet']","['1 bunch(es)', '1 pot(s)', '1 pack(s)', '1 pack(s)', '1 unit(s)', '1 punnet(s)', '1 sachet', '1 pot(s)', '1 pot(s)', '1 sachet', '1 unit(s)', '4 unit(s)']",['Plate'],"['bunch(es)', 'pot(s)', 'pack(s)', 'pack(s)', 'unit(s)', 'punnet(s)', 'sachet', 'pot(s)', 'pot(s)', 'sachet', 'unit(s)', 'unit(s)']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0]",https://www.hellofresh.co.uk/recipes/honey-and-sumas-whiting-5ca73e9de3f33910e0289032,['Allergens:Sulphites?€?Fish'],Honey and Sumac Whiting,['No Tag'],"['Sulphites', 'Fish']"
180,190,"['2607 kJ', '623 kcal', '15.0 g', '8.0 g', '92 g', '32.0 g', '0 g', '27 g', '0 mg', '5.0 g']",623,15,92,27,"['Potatoes', 'Red Onion', 'Chestnut Mushrooms', 'Yellow Pepper', 'Carrot', 'Sundried Tomatoes', 'Chickpeas', 'Cheddar Cheese', 'Oregano', 'Worcester Sauce', 'Finely Chopped Tomatoes with Basil', 'Red Wine Stock', 'Grated Hard Italian Style Cheese']","['1 pack(s)', '1 unit(s)', '1 punnet(s)', '1 unit(s)', '1 unit(s)', '1 bag(s)', '1 pack(s)', '1 block(s)', '1 pot(s)', '?? sachet', '1 pack(s)', '?? pot(s)', '1 pack(s)']","['Saucepan', 'Cutting board', 'Frying Pan', 'Baking Dish']","['pack(s)', 'unit(s)', 'punnet(s)', 'unit(s)', 'unit(s)', 'bag(s)', 'pack(s)', 'block(s)', 'pot(s)', 'sachet', 'pack(s)', 'pot(s)', 'pack(s)']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",https://www.hellofresh.co.uk/recipes/veggie-shepherd-s-pie-5bdaebb730006c10b25144a2,['Allergens:Milk?€?Gluten?€?Sulphites?€?Egg'],Veggie Shepherd's Pie (v),['No Tag'],"['Milk', 'Gluten', 'Sulphites', 'Egg']"
487,546,"['1839 kJ', '440 kcal', '18.0 g', '2.0 g', '60 g', '27.0 g', '3 g', '9 g', '0 mg', '0.22 g']",440,18,60,9,"['Salad Potatoes', 'Dried Oregano', 'Aubergine', 'Premium Tomatoes', 'Garlic Clove', 'Flat Leaf Parsley', 'Raisins', 'Lemon', 'Ground Coriander', 'Pine Nuts', 'Panko Breadcrumbs', 'Hake Fillet', 'Capers', 'Olive Oil for the dressing', 'Olive Oil']","['1 pack(s)', '1 pot(s)', '1 unit(s)', '1 punnet(s)', '1 unit(s)', '1 bunch(es)', '1 pack(s)', '1 unit(s)', '1 pot(s)', '1 pot(s)', '10 grams', '2 unit(s)', '1 pot(s)', '1.5 tbsp', '1.5 tbsp']","['Baking Tray', 'Cutting board', 'Frying Pan']","['pack(s)', 'pot(s)', 'unit(s)', 'punnet(s)', 'unit(s)', 'bunch(es)', 'pack(s)', 'unit(s)', 'pot(s)', 'pot(s)', 'grams', 'unit(s)', 'pot(s)', 'tbsp', 'tbsp']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 10.0, 2.0, 1.0, 1.5, 1.5]",https://www.hellofresh.co.uk/recipes/italian-style-christmas-crumbed-hake-5db9bb69508f707ab355ce1b,['Allergens:Nuts?€?Gluten?€?Fish'],Italian-Style Christmas-Crumbed Hake,['No Tag'],"['Nuts', 'Gluten', 'Fish']"
1034,1148,"['3876 kJ', '926 kcal', '27.0 g', '11.0 g', '113 g', '28.0 g', '7 g', '62 g', '0 mg', '3.28 g']",926,27,113,62,"['Bell Pepper', 'Lime', 'Red Onion', 'Garlic Clove', 'Coriander', 'Mozzarella', 'Red Wine Vinegar', 'Sweet Potato Fries', 'Ground Coriander', 'Tomato Puree', 'North Indian Style Curry Powder', 'Tomato Passata', 'Naan', 'Mango Chutney', 'Nigella Seeds', 'Baby Leaves', 'Diced Chicken Breast', 'Sugar', 'Olive Oil']","['1 unit(s)', '?? unit(s)', '?? unit(s)', '1 unit(s)', '1 bunch(es)', '1 ball(s)', '1 unit(s)', '1 pack(s)', '1 pot(s)', '1 sachet', '1 pot(s)', '1 pack(s)', '2 unit(s)', '1 pot(s)', '1 pot(s)', '1 bag(s)', '280 grams', '1 tsp', '1 tbsp']","['Knife', 'Cutting board', 'Garlic Press', 'Bowl', 'Baking Tray', 'Frying Pan', 'Plate', 'Kitchen Paper', 'Large Bowl']","['unit(s)', 'unit(s)', 'unit(s)', 'unit(s)', 'bunch(es)', 'ball(s)', 'unit(s)', 'pack(s)', 'pot(s)', 'sachet', 'pot(s)', 'pack(s)', 'unit(s)', 'pot(s)', 'pot(s)', 'bag(s)', 'grams', 'tsp', 'tbsp']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 280.0, 1.0, 1.0]",https://www.hellofresh.co.uk/recipes/chicken-tikka-naan-pizza-600192eb51c40d79be740c15,"['Tags:Spicy', 'Allergens:Milk?€?Sulphites?€?Gluten']",Chicken Tikka Naan Pizza,['Spicy'],"['Milk', 'Sulphites', 'Gluten']"
447,502,"['2261 kJ', '541 kcal', '27.0 g', '10.0 g', '33 g', '14.0 g', '1 g', '41 g', '0 mg', '1.58 g']",541,27,33,41,"['Courgette', 'Baby Plum Tomatoes', 'Lemon', 'Garlic Clove', 'Italian Herbs', 'Grated Hard Italian Style Cheese', 'Rocket', 'Chives', 'Ciabatta', 'Balsamic Vinegar', 'Olive Oil for the dressing', 'Scrambled Egg Mix', 'Olive Oil']","['1 unit(s)', '1 punnet(s)', '?? unit(s)', '1 clove', '?? pot(s)', '1 pack(s)', '1 bag(s)', '1 bunch(es)', '1 unit(s)', '1 sachet', '1 tbsp', '1 unit(s)', '2 tbsp']","['Aluminum Foil', 'Baking Tray', 'Cutting board', 'Knife', 'Bowl', 'Fork', 'Frying Pan', 'Lid', 'Plate']","['unit(s)', 'punnet(s)', 'unit(s)', 'clove', 'pot(s)', 'pack(s)', 'bag(s)', 'bunch(es)', 'unit(s)', 'sachet', 'tbsp', 'unit(s)', 'tbsp']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0]",https://www.hellofresh.co.uk/recipes/herby-italian-frittata-with-rocket-pesto-5f21772da82e99471d1c3ed2,"['Tags:Veggie', 'Allergens:Milk?€?Egg?€?Gluten?€?Soya?€?Sulphites']","Herby Italian Frittata with Rocket Pesto,",['Veggie'],"['Milk', 'Egg', 'Gluten', 'Soya', 'Sulphites']"
797,888,"['3017 kJ', '721 kcal', '29.0 g', '11.0 g', '95 g', '38.0 g', '0 g', '21 g', '0 mg', '3.0 g']",721,29,95,21,"['Miso Paste', 'Feta Cheese', 'Red Onion', 'Red Bullet Chilli', 'Sweetcorn', 'Coriander', 'Pumpkin Seeds', 'Kale', 'Honey', 'Small Sweet Potato', 'Lime', 'Cider & Horseradish Wholegrain Mustard', 'Olive Oil']","['1 sachet', '1 block(s)', '1 unit(s)', '?? unit(s)', '1 pack(s)', '1 bunch(es)', '1 bag(s)', '1 bag(s)', '1 sachet', '1 unit(s)', '1 unit(s)', '?? pot(s)', '2 tbsp']",['Plate'],"['sachet', 'block(s)', 'unit(s)', 'unit(s)', 'pack(s)', 'bunch(es)', 'bag(s)', 'bag(s)', 'sachet', 'unit(s)', 'unit(s)', 'pot(s)', 'tbsp']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0]",https://www.hellofresh.co.uk/recipes/roast-sweet-potato-sweetcorn-salad-5cb5ae9bc445fa79887ad552,['Allergens:Soya?€?Milk?€?Mustard'],Roasted Sweet Potato & Sweetcorn,['No Tag'],"['Soya', 'Milk', 'Mustard']"
300,329,"['1498 kJ', '358 kcal', '14.0 g', '8.0 g', '41 g', '17.0 g', '0 g', '18 g', '0 mg', '1.95 g']",358,14,41,18,"['Red Onion', 'Yellow Pepper', 'Cherry Tomatoes', 'Aubergine', 'Courgette', 'Dried Italian Herbs', 'Basil 20g', 'Balsamic Vinegar', 'Ciabatta', 'Feta Cheese', 'Garlic Clove']","['1 unit(s)', '1 unit(s)', '1 punnet(s)', '1 unit(s)', '1 unit(s)', '?? tbsp', '1 bunch(es)', '1 sachet', '1 unit(s)', '1 block(s)', '1 clove']","['Baking Tray', 'Bowl', 'Cutting board', 'Knife', 'Spoon', 'Aluminum Foil', 'Frying Pan', 'Plate', 'Kitchen Paper']","['unit(s)', 'unit(s)', 'punnet(s)', 'unit(s)', 'unit(s)', 'tbsp', 'bunch(es)', 'sachet', 'unit(s)', 'block(s)', 'clove']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",https://www.hellofresh.co.uk/recipes/deconstructed-ratatouille-5af582bc30006c1ae76eeb72,"['Tags:Under 750 calories', 'Allergens:Sulphites?€?Gluten?€?Soya?€?Milk']",Deconstructed Ratatouille,['Under 750 calories'],"['Sulphites', 'Gluten', 'Soya', 'Milk']"
512,574,"['1766 kJ', '422 kcal', '19.0 g', '10.0 g', '46 g', '20.0 g', '0 g', '17 g', '0 mg', '1.41 g']",422,19,46,17,"['Diced Butternut Squash', 'Red Onion', 'Red Pepper', 'Garlic Clove', 'Flat Leaf Parsley', 'Baby Plum Tomatoes', 'Ciabatta', 'Lemon', 'Rocket', 'Feta Cheese', 'Olive Oil']","['1 pack(s)', '1 unit(s)', '1 unit(s)', '1 unit(s)', '1 bunch(es)', '1 punnet(s)', '1 unit(s)', '?? unit(s)', '1 bag(s)', '1 block(s)', '1 tbsp']","['Baking Tray', 'Cutting board', 'Frying Pan', 'Garlic Press', 'Grater', 'Knife', 'Zester', 'Bowl']","['pack(s)', 'unit(s)', 'unit(s)', 'unit(s)', 'bunch(es)', 'punnet(s)', 'unit(s)', 'unit(s)', 'bag(s)', 'block(s)', 'tbsp']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",https://www.hellofresh.co.uk/recipes/panzanella-salad-5d0220cb9c2a8900161d5cbe,"['Tags:Low Salt?€?Under 600 calories', 'Allergens:Gluten?€?Soya?€?Milk']",Panzanella Salad,"['Low Salt', 'Under 600 calories']","['Gluten', 'Soya', 'Milk']"
554,618,"['2787 kJ', '666 kcal', '28.0 g', '14.0 g', '69 g', '13.0 g', '0 g', '35 g', '0 mg', '4.0 g']",666,28,69,35,"['Red Onion', 'Red Pepper', 'Courgette', 'Garlic Clove', 'Mozzarella', 'Tomato Puree', 'Grated Hard Italian Style Cheese', 'Rocket', 'Italian Pizza Bases', 'Olive Oil']","['1 unit(s)', '1 unit(s)', '1 unit(s)', '1 unit(s)', '1 ball(s)', '1 sachet', '1 pack(s)', '1 bag(s)', '1 unit(s)', '1 tbsp']","['Cutting board', 'Baking Tray', 'Bowl', 'Plate']","['unit(s)', 'unit(s)', 'unit(s)', 'unit(s)', 'ball(s)', 'sachet', 'pack(s)', 'bag(s)', 'unit(s)', 'tbsp']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",https://www.hellofresh.co.uk/recipes/veggie-pizza-5ba3d83a30006c794028db91,['Allergens:Milk?€?Egg?€?Gluten'],Veggie Pizza (v),['No Tag'],"['Milk', 'Egg', 'Gluten']"
279,306,"['1556 kJ', '372 kcal', '4.0 g', '2.0 g', '65 g', '15.0 g', '0 g', '19 g', '0 mg', '2.0 g']",372,4,65,19,"['Potatoes', 'Onion', 'Carrot', 'Yellow Pepper', 'Chestnut Mushrooms', 'Brown Lentils', 'Flat Leaf Parsley', 'Provencale Herbs', 'Tomato Puree', 'Vegetable Stock Powder', 'Wholegrain Mustard', 'Baby Spinach', 'Half-Fat Mature Cheddar Cheese', 'Water']","['1 unit(s)', '1 unit(s)', '1 unit(s)', '1 unit(s)', '?? punnet(s)', '1 pack(s)', '?? bunch(es)', '1 pot(s)', '?? sachet', '1 sachet', '?? pot(s)', '1 bag(s)', '1 block(s)', '100 milliliter(s)']",[],"['unit(s)', 'unit(s)', 'unit(s)', 'unit(s)', 'punnet(s)', 'pack(s)', 'bunch(es)', 'pot(s)', 'sachet', 'sachet', 'pot(s)', 'bag(s)', 'block(s)', 'milliliter(s)']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 100.0]",https://www.hellofresh.co.uk/recipes/lentil-vegetable-hotpot-5d3190a6d6292e00113ed36b,"['Tags:Low Salt?€?Under 550 calories', 'Allergens:Celery?€?Mustard?€?Milk']",Lentil & Vegetable Hotpot,"['Low Salt', 'Under 550 calories']","['Celery', 'Mustard', 'Milk']"
157,165,"['2448 kJ', '585 kcal', '14.0 g', '9.0 g', '84 g', '21.0 g', '0 g', '26 g', '0 mg', '2.0 g']",585,14,84,26,"['Butternut Squash', 'Ground Coriander', 'Red Onion', 'Garlic Clove', 'Flat Leaf Parsley', 'Mint', 'Lemon', 'Brown Lentils', 'Vegetable Stock Powder', 'Bulgur Wheat', 'Feta Cheese', 'Red Pepper & Chilli Jelly', 'Aubergine', 'Water']","['1 unit(s)', '1 pot(s)', '1 unit(s)', '1 unit(s)', '1 bunch(es)', '1 bunch(es)', '1 unit(s)', '1 pack(s)', '1 sachet', '120 grams', '1 block(s)', '2 pot(s)', '1 unit(s)', '240 milliliter(s)']",[],"['unit(s)', 'pot(s)', 'unit(s)', 'unit(s)', 'bunch(es)', 'bunch(es)', 'unit(s)', 'pack(s)', 'sachet', 'grams', 'block(s)', 'pot(s)', 'unit(s)', 'milliliter(s)']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 120.0, 1.0, 2.0, 1.0, 240.0]",https://www.hellofresh.co.uk/recipes/warm-lentil-salad-5cd56387729fc200153a538a,"['Tags:Low Salt?€?Low Sat Fat?€?Under 600 calories', 'Allergens:Celery?€?Gluten?€?Milk']",Warm Lentil Salad,"['Low Salt', 'Low Sat Fat', 'Under 600 calories']","['Celery', 'Gluten', 'Milk']"
815,907,"['2059 kJ', '492 kcal', '30.0 g', '11.0 g', '30 g', '20.0 g', '0 g', '20 g', '0 mg', '1.22 g']",492,30,30,20,"['Beetroot', 'Brown Lentils', 'Red Wine Vinegar', 'Echalion Shallot', ""Goat's Cheese"", 'Walnuts', 'Dill', 'Honey', 'Wholegrain Mustard', 'Garlic', 'Lemon', 'Baby Leaves', 'Olive Oil for the dressing', 'Olive Oil']","['1 pack(s)', '1 pack(s)', '1 sachet', '1 unit(s)', '1 pack(s)', '1 bag(s)', '1 bunch(es)', '1 sachet', '1 sachet', '2 unit(s)', '?? unit(s)', '1 bag(s)', '2 tbsp', '1 tbsp']","['Cutting board', 'Knife', 'Sieve', 'Saucepan', 'Bowl', 'Plate']","['pack(s)', 'pack(s)', 'sachet', 'unit(s)', 'pack(s)', 'bag(s)', 'bunch(es)', 'sachet', 'sachet', 'unit(s)', 'unit(s)', 'bag(s)', 'tbsp', 'tbsp']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0]",https://www.hellofresh.co.uk/recipes/beetroot-lentil-goat-s-cheese-salad-5c647175c445fa77e80fea42,"['Tags:Low Salt?€?Under 600 calories', 'Allergens:Sulphites?€?Milk?€?Nuts?€?Mustard']","Beetroot, Lentil & Goat's Cheese Salad","['Low Salt', 'Under 600 calories']","['Sulphites', 'Milk', 'Nuts', 'Mustard']"
1217,1346,"['2314 kJ', '553 kcal', '23.0 g', '12.0 g', '65 g', '15.0 g', '0 g', '22 g', '0 mg', '5.0 g']",553,23,65,22,"['Garlic Clove', 'Onion', 'Carrot', 'Red Pepper', 'Chestnut Mushrooms', 'Green Lentils', 'Flat Leaf Parsley', 'Potato', 'Vegetable Stock Pot', 'Tomato Puree', 'Soy Sauce', 'English Mustard', 'Baby Spinach', 'Netherend Butter Salted', 'Cheddar Cheese', 'Provencale Herbs', 'Water']","['1 unit(s)', '1 unit(s)', '1 unit(s)', '?? unit(s)', '1 punnet(s)', '1 tin(s)', '?? bunch(es)', '1 pack(s)', '1 unit(s)', '1 tbsp', '1 tbsp', '2 tsp', '?? bag(s)', '30 grams', '30 grams', '?? tbsp', '200 milliliter(s)']","['Knife', 'Pan', 'Baking Dish']","['unit(s)', 'unit(s)', 'unit(s)', 'unit(s)', 'punnet(s)', 'tin(s)', 'bunch(es)', 'pack(s)', 'unit(s)', 'tbsp', 'tbsp', 'tsp', 'bag(s)', 'grams', 'grams', 'tbsp', 'milliliter(s)']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 30.0, 30.0, 200.0]",https://www.hellofresh.co.uk/recipes/lentil-and-vegetable-hotpot-wk46-57e24964d36aaa25e80ec942,"['Tags:Extra spicy?€?Veggie', 'Allergens:Celery?€?Sulphites?€?Gluten?€?Soya?€?Mustard?€?Milk']",Lentil and Vegetable Hotpot,"['Extra spicy', 'Veggie']","['Celery', 'Sulphites', 'Gluten', 'Soya', 'Mustard', 'Milk']"
364,409,"['2046 kJ', '489 kcal', '26.0 g', '11.0 g', '44 g', '10.0 g', '0 g', '22 g', '0 mg', '1.0 g']",489,26,44,22,"['Red Onion', 'Garlic Clove', 'Aubergine', 'Freekeh', 'Chermoula Spice', 'Vegetable Stock Powder', 'Balsamic Vinegar', 'Baby Plum Tomatoes', 'Lemon', 'Wholegrain Mustard', ""Goat's Cheese"", 'Water', 'Olive Oil']","['1 unit(s)', '1 unit(s)', '1 unit(s)', '1 bag(s)', '1 pot(s)', '1 pot(s)', '1 sachet', '1 punnet(s)', '?? unit(s)', '?? pot(s)', '1 unit(s)', '200 milliliter(s)', '1 tbsp']","['Grater', 'Knife', 'Saucepan', 'Strainer', 'Baking Tray', 'Mixing Bowl']","['unit(s)', 'unit(s)', 'unit(s)', 'bag(s)', 'pot(s)', 'pot(s)', 'sachet', 'punnet(s)', 'unit(s)', 'pot(s)', 'unit(s)', 'milliliter(s)', 'tbsp']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 200.0, 1.0]",https://www.hellofresh.co.uk/recipes/goats-cheese-stuffed-aubergine-with-chermoula-freekeh-32-57612bd84dab7153138b4567,['Allergens:Gluten?€?Celery?€?Sulphites?€?Mustard?€?Milk'],Goat's Cheese Coated Aubergine,['No Tag'],"['Gluten', 'Celery', 'Sulphites', 'Mustard', 'Milk']"
953,1057,"['2310 kJ', '552 kcal', '30.0 g', '18.0 g', '49 g', '21.0 g', '8 g', '18 g', '0 mg', '1.26 g']",552,30,49,18,"['Onion', 'Carrot', 'Garlic', 'Ginger', 'Brown Lentils', 'Cauliflower', 'Turmeric', 'Curry Powder', 'Tomato Puree', 'Coconut Milk', 'Water for Curry', 'Vegetable Stock Powder', 'Coriander', 'Lime', 'Baby Spinach', 'Olive Oil']","['1 unit(s)', '1 unit(s)', '1 unit(s)', '1 piece', '1 pack(s)', '1 unit(s)', '1 pot(s)', '1 pot(s)', '1 sachet', '200 milliliter(s)', '200 milliliter(s)', '1 sachet', '1 bunch(es)', '?? unit(s)', '100 grams', '2 tbsp']","['Cutting board', 'Garlic Press', 'Grater', 'Knife', 'Sieve', 'Baking Tray', 'Saucepan', 'Bowl']","['unit(s)', 'unit(s)', 'unit(s)', 'pack(s)', 'unit(s)', 'pot(s)', 'pot(s)', 'sachet', 'milliliter(s)', 'milliliter(s)', 'sachet', 'bunch(es)', 'unit(s)', 'grams', 'tbsp']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 200.0, 200.0, 1.0, 1.0, 100.0, 2.0]",https://www.hellofresh.co.uk/recipes/turmeric-roasted-cauliflower-5fd75e78a608a0561c026f59,"['Tags:Plant-based', 'Allergens:Mustard?€?Celery']",Turmeric Roasted Cauliflower,['Plant-based'],"['Mustard', 'Celery']"
764,851,"['2247 kJ', '537 kcal', '26.0 g', '11.0 g', '43 g', '23.0 g', '0 g', '29 g', '0 mg', '3.52 g']",537,26,43,29,"['Butternut Squash', 'Red Onion', 'Brown Lentils', 'Lemon', 'Tahini Paste', 'Honey', 'Olive Oil for the dressing', 'Balsamic Vinegar', 'Vegetable Stock Powder', 'Serrano Ham', 'Feta Cheese', 'Pea Shoots', 'Chermoula Spice', 'Water', 'Water for the Lentils']","['1 unit(s)', '1 unit(s)', '1 pack(s)', '1 unit(s)', '1 sachet', '1 sachet', '1 tbsp', '1 sachet', '1 sachet', '3 slice', '1 block(s)', '1 bag(s)', '1 sachet', '1 tbsp', '100 milliliter(s)']","['9x13"" Baking Dish', 'Cutting board', 'Knife', 'Frying Pan', 'Bowl']","['unit(s)', 'unit(s)', 'pack(s)', 'unit(s)', 'sachet', 'sachet', 'tbsp', 'sachet', 'sachet', 'slice', 'block(s)', 'bag(s)', 'sachet', 'tbsp', 'milliliter(s)']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0, 1.0, 1.0, 100.0]",https://www.hellofresh.co.uk/recipes/feta-serrano-ham-and-butternut-salad-5d94b0ede41529011128b63c,"['Tags:Under 600 calories', 'Allergens:Sesame?€?Sulphites?€?Celery?€?Milk']","Feta, Serrano Ham and Butternut Salad",['Under 600 calories'],"['Sesame', 'Sulphites', 'Celery', 'Milk']"
131,139,"['3674 kJ', '878 kcal', '46.0 g', '22.0 g', '85 g', '15.0 g', '0 g', '27 g', '0 mg', '2.0 g']",878,46,85,27,"['Red Onion', 'Closed Cup Mushrooms', 'Portobello Mushroom', 'Garlic Clove', 'Thyme', 'Black Beans', 'Grated Hard Italian Style Cheese', 'Chantenay Carrot', 'Puff Pastry Sheet', 'Water']","['1 unit(s)', '1 punnet(s)', '1 punnet(s)', '1 unit(s)', '1 bunch(es)', '1 pack(s)', '1 sachet', '1 pack(s)', '1 roll(s)', '50 milliliter(s)']","['Cutting board', 'Knife', 'Baking Tray']","['unit(s)', 'punnet(s)', 'punnet(s)', 'unit(s)', 'bunch(es)', 'pack(s)', 'sachet', 'pack(s)', 'roll(s)', 'milliliter(s)']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 50.0]",https://www.hellofresh.co.uk/recipes/mushroom-and-blackbean-wellington-5d9df17a349e7134f40340e1,['Allergens:Milk?€?Egg?€?Gluten'],Mushroom & Blackbean Wellington,['No Tag'],"['Milk', 'Egg', 'Gluten']"
